"run_id","session_id","sequence","repetition","runtime","shuffle_seed","started_at","finished_at","status","startup_time_ns","startup_time_ms","observed_output","program_file","stdout_log","stderr_log","error_message"
"cold_start_s02_r16_deno",2,1,16,"deno",20260820,"2026-08-04T17:48:25.927158+00:00","2026-08-04T17:48:26.072229+00:00","success",119570400,119.5704,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r16_deno-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r16_deno-stderr.log",NA
"cold_start_s02_r16_node",2,2,16,"node",20260820,"2026-08-04T17:48:27.081457+00:00","2026-08-04T17:48:27.264451+00:00","success",147805800,147.8058,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r16_node-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r16_node-stderr.log",NA
"cold_start_s02_r16_bun",2,3,16,"bun",20260820,"2026-08-04T17:48:28.277708+00:00","2026-08-04T17:48:28.483050+00:00","success",183865900,183.8659,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r16_bun-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r16_bun-stderr.log",NA
"cold_start_s02_r17_deno",2,4,17,"deno",20260821,"2026-08-04T17:48:29.491226+00:00","2026-08-04T17:48:29.645728+00:00","success",116181600,116.1816,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r17_deno-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r17_deno-stderr.log",NA
"cold_start_s02_r17_bun",2,5,17,"bun",20260821,"2026-08-04T17:48:30.654866+00:00","2026-08-04T17:48:30.866726+00:00","success",189036600,189.0366,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r17_bun-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r17_bun-stderr.log",NA
"cold_start_s02_r17_node",2,6,17,"node",20260821,"2026-08-04T17:48:31.879700+00:00","2026-08-04T17:48:32.050967+00:00","success",151532700,151.5327,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r17_node-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r17_node-stderr.log",NA
"cold_start_s02_r18_bun",2,7,18,"bun",20260822,"2026-08-04T17:48:33.059467+00:00","2026-08-04T17:48:33.271518+00:00","success",190071400,190.0714,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r18_bun-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r18_bun-stderr.log",NA
"cold_start_s02_r18_node",2,8,18,"node",20260822,"2026-08-04T17:48:34.280037+00:00","2026-08-04T17:48:34.457548+00:00","success",157396400,157.3964,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r18_node-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r18_node-stderr.log",NA
"cold_start_s02_r18_deno",2,9,18,"deno",20260822,"2026-08-04T17:48:35.466122+00:00","2026-08-04T17:48:35.624685+00:00","success",133987600,133.9876,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r18_deno-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r18_deno-stderr.log",NA
"cold_start_s02_r19_node",2,10,19,"node",20260823,"2026-08-04T17:48:36.632870+00:00","2026-08-04T17:48:36.810934+00:00","success",155913900,155.9139,"READY","benchmarks/cold_start/node/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r19_node-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r19_node-stderr.log",NA
"cold_start_s02_r19_bun",2,11,19,"bun",20260823,"2026-08-04T17:48:37.820435+00:00","2026-08-04T17:48:38.111815+00:00","success",264538300,264.5383,"READY","benchmarks/cold_start/bun/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r19_bun-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r19_bun-stderr.log",NA
"cold_start_s02_r19_deno",2,12,19,"deno",20260823,"2026-08-04T17:48:39.119743+00:00","2026-08-04T17:48:39.279972+00:00","success",129496600,129.4966,"READY","benchmarks/cold_start/deno/startup.js","results/logs/cold_start_final/session_02/cold_start_s02_r19_deno-stdout.log","results/logs/cold_start_final/session_02/cold_start_s02_r19_deno-stderr.log",NA
